EnsemblID,GeneName,ID
ENSMUSG00000064367,mt-Nd5,1426088_at
ENSMUSG00000094722,,1456598_at
ENSMUSG00000095666,,1456598_at
ENSMUSG00000079222,,1435660_at
ENSMUSG00000096776,Vmn1r186,1460301_at
ENSMUSG00000095742,,1430514_a_at
ENSMUSG00000079808,,1425078_x_at
ENSMUSG00000096244,,1450343_at
ENSMUSG00000096756,,1456598_at
ENSMUSG00000094054,,1422140_at
ENSMUSG00000094054,,1460416_s_at
ENSMUSG00000094054,,1422141_s_at
ENSMUSG00000094474,,1456598_at
ENSMUSG00000062783,Csprs,1422140_at
ENSMUSG00000062783,Csprs,1435792_at
ENSMUSG00000062783,Csprs,1460416_s_at
ENSMUSG00000062783,Csprs,1422141_s_at
ENSMUSG00000096550,Gm16367,1456598_at
ENSMUSG00000095763,,1456598_at
ENSMUSG00000095523,,1456598_at
ENSMUSG00000095041,,1429452_x_at
ENSMUSG00000095041,,1435353_a_at
ENSMUSG00000095041,,1435425_at
ENSMUSG00000095041,,1435426_s_at
ENSMUSG00000095041,,1434975_x_at
ENSMUSG00000095041,,1439069_a_at
ENSMUSG00000095041,,1436944_x_at
ENSMUSG00000095041,,1426387_x_at
ENSMUSG00000095134,Mid1-ps1,1422055_at
ENSMUSG00000096768,Gm47283,1452406_x_at
ENSMUSG00000096768,Gm47283,1439200_x_at
ENSMUSG00000093918,Gm21677,1420786_a_at
ENSMUSG00000094511,Gm21693,1420786_a_at
ENSMUSG00000093987,Gm21704,1420786_a_at
ENSMUSG00000095948,Gm21708,1420786_a_at
ENSMUSG00000096520,Gm3376,1420786_a_at
ENSMUSG00000075359,Gm20775,1428625_a_at
ENSMUSG00000075359,Gm20775,1430805_s_at
ENSMUSG00000100968,Gm2098,1427543_s_at
ENSMUSG00000100968,Gm2098,1450285_at
ENSMUSG00000053211,Zfy1,1420759_s_at
ENSMUSG00000069053,Uba1y,1427543_s_at
ENSMUSG00000069053,Uba1y,1450285_at
