"","X2_Z0b.cel","X2_Z0c.cel","X2_Z0e.cel","X3_Z05a.cel","X3_Z05b.cel","X3_Z05c.cel","X4_Z10a.cel","X4_Z10b.cel","X4_Z10c.cel","X5_Z30a.cel","X5_Z30b.cel","X5_Z30c.cel"
"Psap_1415687_a_at",9.863820773,10.02444747,9.844766723,8.106517163,8.752410814,8.463704029,9.065801478,8.967492731,8.55330566,8.904566115,9.581132689,9.013716027
"Gja1_1415801_at",7.648262438,7.034194833,7.81439311,5.410861603,5.966990632,5.733507276,5.536610714,6.161303329,6.290710758,5.864727216,6.180668665,5.873533082
"Vcl_1416157_at",5.585384518,5.023257112,6.169660661,3.400320052,3.669070271,3.847434983,3.586139147,3.701301447,3.702812802,3.50002226,3.634253224,3.296971256
"Gm5424_1416239_at",11.71638512,11.69073669,11.64070969,9.428895892,10.12152987,9.555765169,9.667714933,10.12905451,10.03186364,9.446988288,9.889631389,9.293090316
"M6pr_1416385_a_at",10.1522085,10.27954943,10.12123848,10.35403613,10.24799267,10.2473413,10.14555098,10.20455206,10.26712422,10.49957978,10.50494232,10.73676243
"Ulk1_1416504_at",8.939996916,8.767138641,9.180830022,6.797385757,7.62851338,7.212226917,6.964331317,7.40980576,7.357366652,6.422192684,6.978772629,6.595428326
"Fscn1_1416515_at",10.17635475,9.620195572,9.611396385,6.384841294,7.483593091,7.212680965,6.767203687,7.678501665,7.297648587,7.499906685,7.349543023,6.641415033
"Akt1_1416657_at",8.186267491,8.218297329,8.213916346,7.046709248,7.368663687,7.247703051,7.610655779,7.510364855,7.588049514,7.62764096,7.980528735,7.663733239
"Mapk14_1416703_at",10.17875211,10.29476913,10.11598647,10.17202047,10.30419995,10.18530162,10.45624865,10.19174411,10.30488282,10.11370842,10.27070253,10.31184328
"Kpnb1_1416925_at",10.4896896,10.33533009,10.44081195,9.707706049,9.829171183,9.695227135,9.454253608,9.680759574,9.768512433,9.539272425,9.787069575,9.742346882
"Capn1_1417228_at",8.304909912,8.40835257,8.255814873,6.751131058,7.568499684,7.639846528,7.6072443,7.596498316,7.506381785,7.168488763,7.344687015,7.276856189
